timestamp,offset_m,curvature_m,confidence,steering_cmd,throttle_cmd,left_pixels,right_pixels
1775622541.359,0.0027,1140.69,1.00,0.0000,0.000,17852,9243
1775622541.394,0.0028,845.56,1.00,0.0000,0.000,17666,10199
1775622541.429,0.0028,52.26,1.00,0.0000,0.000,17847,9629
1775622541.464,0.0026,243.41,1.00,0.0000,0.000,18076,10019
1775622541.502,0.0026,256.03,1.00,0.0000,0.000,17860,9396
1775622541.544,0.0023,63.74,1.00,0.0000,0.000,17962,9666
1775622541.579,0.0027,90.34,1.00,0.0000,0.000,17863,10259
1775622541.616,0.0025,95.02,1.00,0.0000,0.000,17787,10001
1775622541.653,0.0027,592.88,1.00,0.0000,0.000,17623,10153
1775622541.689,0.0019,45.23,1.00,0.0000,0.000,18143,9745
1775622541.732,0.0027,457.04,1.00,0.0000,0.000,17680,10109
1775622541.766,0.0024,98.22,1.00,0.0000,0.000,18069,10001
1775622541.801,0.0023,99.43,1.00,0.0000,0.000,17991,9756
1775622541.836,0.0028,63.56,1.00,0.0000,0.000,17830,9855
1775622541.872,0.0026,983.59,1.00,0.0000,0.000,17833,10260
1775622541.909,0.0026,193.87,1.00,0.0000,0.000,18068,9686
1775622541.946,0.0024,108.99,1.00,0.0000,0.000,17926,10044
1775622541.982,0.0021,218.97,1.00,0.0000,0.000,17929,9545
1775622542.017,0.0024,107.76,1.00,0.0000,0.000,17992,8947
1775622542.053,0.0023,38.93,1.00,0.0000,0.000,18294,10363
1775622542.089,0.0023,70.86,1.00,0.0000,0.000,17842,9387
1775622542.126,0.0023,62.97,1.00,0.0000,0.000,17780,9654
1775622542.166,0.0027,94.60,1.00,0.0000,0.000,17731,10049
1775622542.205,0.0025,136.88,1.00,0.0000,0.000,17631,9451
1775622542.244,0.0020,125.27,1.00,0.0000,0.000,18228,9626
1775622542.279,0.0022,142.82,1.00,0.0000,0.000,17851,8905
1775622542.316,0.0020,70.84,1.00,0.0000,0.000,17795,9439
1775622542.351,0.0016,57.47,1.00,0.0000,0.000,17736,9318
1775622542.389,0.0019,237.01,1.00,0.0000,0.000,17776,10285
1775622542.426,0.0026,64.15,1.00,0.0000,0.000,17933,9633
1775622542.461,0.0022,174.37,1.00,0.0000,0.000,17957,9511
1775622542.497,0.0023,80.46,1.00,0.0000,0.000,17928,10346
1775622542.532,0.0029,163.21,1.00,0.0000,0.000,17772,10068
1775622542.568,0.0028,172.08,1.00,0.0000,0.000,17873,10218
1775622542.603,0.0027,3229.64,1.00,0.0000,0.000,17901,9978
1775622542.639,0.0018,85.20,1.00,0.0000,0.000,17840,10017
1775622542.680,0.0025,517.13,1.00,0.0000,0.000,17883,10241
1775622542.716,0.0024,157.20,1.00,0.0000,0.000,17707,9755
1775622542.754,0.0022,147.80,1.00,0.0000,0.000,17871,10134
1775622542.789,0.0024,155.21,1.00,0.0000,0.000,17723,10417
1775622542.824,0.0024,293.00,1.00,0.0000,0.000,17820,9529
1775622542.859,0.0026,185.06,1.00,0.0000,0.000,17996,9813
1775622542.894,0.0029,59.22,1.00,0.0000,0.000,17898,9880
1775622542.932,0.0028,54.50,1.00,0.0000,0.000,17812,10351
1775622542.966,0.0025,116.29,1.00,0.0000,0.000,17887,10097
1775622543.003,0.0032,103.87,1.00,0.0000,0.000,17807,10288
1775622543.041,0.0029,156.98,1.00,0.0000,0.000,17968,9994
1775622543.076,0.0030,129.38,1.00,0.0000,0.000,17816,9612
1775622543.111,0.0027,259.65,1.00,0.0000,0.000,17828,10128
1775622543.146,0.0025,100.07,1.00,0.0000,0.000,17744,9954
1775622543.180,0.0024,4353.81,1.00,0.0000,0.000,18135,9899
1775622543.215,0.0020,282.05,1.00,0.0000,0.000,17841,9716
1775622543.250,0.0025,117.85,1.00,0.0000,0.000,17846,10109
1775622543.290,0.0022,236.97,1.00,0.0000,0.000,17877,9866
1775622543.326,0.0026,4865.89,1.00,0.0000,0.000,17839,9818
1775622543.361,0.0023,528.16,1.00,0.0000,0.000,17738,9525
1775622543.396,0.0025,415.87,1.00,0.0000,0.000,17989,9549
1775622543.431,0.0024,118.44,1.00,0.0000,0.000,17794,9907
1775622543.465,-0.0244,97.60,1.00,0.0000,0.000,17789,12342
